Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 16 to 19 years,Margin of Error; Total: - 16 to 19 years,Estimate; Total: - 20 to 24 years,Margin of Error; Total: - 20 to 24 years,Estimate; Total: - 25 to 44 years,Margin of Error; Total: - 25 to 44 years,Estimate; Total: - 45 to 54 years,Margin of Error; Total: - 45 to 54 years,Estimate; Total: - 55 to 59 years,Margin of Error; Total: - 55 to 59 years,Estimate; Total: - 60 to 64 years,Margin of Error; Total: - 60 to 64 years,Estimate; Total: - 65 years and over,Margin of Error; Total: - 65 years and over,"Estimate; Total: - Car, truck, or van - drove alone:","Margin of Error; Total: - Car, truck, or van - drove alone:","Estimate; Total: - Car, truck, or van - drove alone: - 16 to 19 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 16 to 19 years","Estimate; Total: - Car, truck, or van - drove alone: - 20 to 24 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 20 to 24 years","Estimate; Total: - Car, truck, or van - drove alone: - 25 to 44 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 25 to 44 years","Estimate; Total: - Car, truck, or van - drove alone: - 45 to 54 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 45 to 54 years","Estimate; Total: - Car, truck, or van - drove alone: - 55 to 59 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 55 to 59 years","Estimate; Total: - Car, truck, or van - drove alone: - 60 to 64 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 60 to 64 years","Estimate; Total: - Car, truck, or van - drove alone: - 65 years and over","Margin of Error; Total: - Car, truck, or van - drove alone: - 65 years and over","Estimate; Total: - Car, truck, or van - carpooled:","Margin of Error; Total: - Car, truck, or van - carpooled:","Estimate; Total: - Car, truck, or van - carpooled: - 16 to 19 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 16 to 19 years","Estimate; Total: - Car, truck, or van - carpooled: - 20 to 24 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 20 to 24 years","Estimate; Total: - Car, truck, or van - carpooled: - 25 to 44 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 25 to 44 years","Estimate; Total: - Car, truck, or van - carpooled: - 45 to 54 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 45 to 54 years","Estimate; Total: - Car, truck, or van - carpooled: - 55 to 59 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 55 to 59 years","Estimate; Total: - Car, truck, or van - carpooled: - 60 to 64 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 60 to 64 years","Estimate; Total: - Car, truck, or van - carpooled: - 65 years and over","Margin of Error; Total: - Car, truck, or van - carpooled: - 65 years and over",Estimate; Total: - Public transportation (excluding taxicab):,Margin of Error; Total: - Public transportation (excluding taxicab):,Estimate; Total: - Public transportation (excluding taxicab): - 16 to 19 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 16 to 19 years,Estimate; Total: - Public transportation (excluding taxicab): - 20 to 24 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 20 to 24 years,Estimate; Total: - Public transportation (excluding taxicab): - 25 to 44 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 25 to 44 years,Estimate; Total: - Public transportation (excluding taxicab): - 45 to 54 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 45 to 54 years,Estimate; Total: - Public transportation (excluding taxicab): - 55 to 59 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 55 to 59 years,Estimate; Total: - Public transportation (excluding taxicab): - 60 to 64 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 60 to 64 years,Estimate; Total: - Public transportation (excluding taxicab): - 65 years and over,Margin of Error; Total: - Public transportation (excluding taxicab): - 65 years and over,Estimate; Total: - Walked:,Margin of Error; Total: - Walked:,Estimate; Total: - Walked: - 16 to 19 years,Margin of Error; Total: - Walked: - 16 to 19 years,Estimate; Total: - Walked: - 20 to 24 years,Margin of Error; Total: - Walked: - 20 to 24 years,Estimate; Total: - Walked: - 25 to 44 years,Margin of Error; Total: - Walked: - 25 to 44 years,Estimate; Total: - Walked: - 45 to 54 years,Margin of Error; Total: - Walked: - 45 to 54 years,Estimate; Total: - Walked: - 55 to 59 years,Margin of Error; Total: - Walked: - 55 to 59 years,Estimate; Total: - Walked: - 60 to 64 years,Margin of Error; Total: - Walked: - 60 to 64 years,Estimate; Total: - Walked: - 65 years and over,Margin of Error; Total: - Walked: - 65 years and over,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means:","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means:","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 16 to 19 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 16 to 19 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 20 to 24 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 20 to 24 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 25 to 44 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 25 to 44 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 45 to 54 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 45 to 54 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 55 to 59 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 55 to 59 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 60 to 64 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 60 to 64 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 65 years and over","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 65 years and over",Estimate; Total: - Worked at home:,Margin of Error; Total: - Worked at home:,Estimate; Total: - Worked at home: - 16 to 19 years,Margin of Error; Total: - Worked at home: - 16 to 19 years,Estimate; Total: - Worked at home: - 20 to 24 years,Margin of Error; Total: - Worked at home: - 20 to 24 years,Estimate; Total: - Worked at home: - 25 to 44 years,Margin of Error; Total: - Worked at home: - 25 to 44 years,Estimate; Total: - Worked at home: - 45 to 54 years,Margin of Error; Total: - Worked at home: - 45 to 54 years,Estimate; Total: - Worked at home: - 55 to 59 years,Margin of Error; Total: - Worked at home: - 55 to 59 years,Estimate; Total: - Worked at home: - 60 to 64 years,Margin of Error; Total: - Worked at home: - 60 to 64 years,Estimate; Total: - Worked at home: - 65 years and over,Margin of Error; Total: - Worked at home: - 65 years and over
1400000US36001000100,36001000100,"Census Tract 1, Albany County, New York",740,161,27,41,57,47,377,109,136,64,82,49,52,38,9,10,508,109,0,12,49,43,304,94,70,39,47,40,29,28,9,10,57,51,0,12,0,12,7,10,30,42,15,15,5,8,0,12,153,103,27,41,8,13,66,72,20,24,20,31,12,15,0,12,22,21,0,12,0,12,0,12,16,18,0,12,6,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36001000200,36001000200,"Census Tract 2, Albany County, New York",1705,300,146,102,340,172,688,234,225,98,162,104,113,73,31,33,925,277,0,17,214,154,399,181,113,72,135,74,46,51,18,25,40,46,0,17,26,41,14,24,0,17,0,17,0,17,0,17,498,184,94,79,84,67,209,124,85,68,0,17,26,41,0,17,182,104,17,28,16,29,53,61,15,25,27,44,41,38,13,22,47,63,35,57,0,17,0,17,12,22,0,17,0,17,0,17,13,20,0,17,0,17,13,20,0,17,0,17,0,17,0,17
1400000US36001000300,36001000300,"Census Tract 3, Albany County, New York",2363,376,19,30,329,186,1118,226,488,192,152,101,102,96,155,75,1752,372,0,17,226,163,877,246,329,190,99,76,98,99,123,62,120,94,0,17,12,21,65,75,39,48,0,17,4,11,0,17,291,152,19,30,23,38,113,104,83,62,53,59,0,17,0,17,119,151,0,17,68,91,40,62,0,17,0,17,0,17,11,17,51,58,0,17,0,17,0,17,30,47,0,17,0,17,21,35,30,36,0,17,0,17,23,34,7,12,0,17,0,17,0,17
1400000US36001000401,36001000401,"Census Tract 4.01, Albany County, New York",836,115,14,23,39,50,385,102,202,91,69,46,68,45,59,44,638,115,0,12,0,12,288,83,170,83,69,46,68,45,43,39,118,69,14,23,0,12,56,46,32,26,0,12,0,12,16,24,47,52,0,12,39,50,8,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,15,0,12,0,12,8,15,0,12,0,12,0,12,0,12,25,32,0,12,0,12,25,32,0,12,0,12,0,12,0,12
1400000US36001000403,36001000403,"Census Tract 4.03, Albany County, New York",2361,331,21,40,473,256,804,242,582,174,277,108,116,59,88,75,1934,353,21,40,321,208,732,235,457,150,251,105,81,56,71,67,147,106,0,12,28,37,37,42,31,52,16,24,18,28,17,28,212,158,0,12,124,148,35,42,36,43,0,12,17,28,0,12,22,31,0,12,0,12,0,12,12,20,10,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,46,71,0,12,0,12,0,12,46,71,0,12,0,12,0,12
1400000US36001000404,36001000404,"Census Tract 4.04, Albany County, New York",1020,188,525,139,495,123,0,12,0,12,0,12,0,12,0,12,253,91,126,59,127,71,0,12,0,12,0,12,0,12,0,12,32,28,14,17,18,22,0,12,0,12,0,12,0,12,0,12,210,76,77,48,133,83,0,12,0,12,0,12,0,12,0,12,448,114,240,91,208,73,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,77,48,68,47,9,14,0,12,0,12,0,12,0,12,0,12
1400000US36001000501,36001000501,"Census Tract 5.01, Albany County, New York",1653,421,62,89,274,167,791,246,279,118,183,94,30,30,34,28,823,199,8,13,143,109,446,178,139,65,34,39,30,30,23,21,96,72,0,12,14,20,31,48,39,46,12,20,0,12,0,12,396,288,54,88,99,114,103,81,75,68,54,47,0,12,11,17,197,109,0,12,0,12,120,79,26,30,51,65,0,12,0,12,63,68,0,12,18,29,13,21,0,12,32,49,0,12,0,12,78,121,0,12,0,12,78,121,0,12,0,12,0,12,0,12
1400000US36001000502,36001000502,"Census Tract 5.02, Albany County, New York",1436,232,243,89,427,166,466,101,202,67,23,17,53,42,22,18,903,199,91,56,213,133,357,94,167,72,20,16,44,42,11,12,57,40,5,11,18,18,27,26,7,14,0,12,0,12,0,12,218,94,42,26,110,72,50,36,13,15,3,7,0,12,0,12,159,65,69,43,74,53,13,15,3,7,0,12,0,12,0,12,41,32,15,23,0,12,0,12,12,19,0,12,3,6,11,14,58,40,21,30,12,16,19,15,0,12,0,12,6,10,0,12
1400000US36001000600,36001000600,"Census Tract 6, Albany County, New York",1681,301,100,52,455,206,675,208,312,130,80,65,38,58,21,23,953,303,32,42,252,159,344,169,216,97,62,58,38,58,9,13,108,78,44,43,22,36,27,26,15,18,0,12,0,12,0,12,373,149,24,32,119,112,137,73,81,60,0,12,0,12,12,19,155,100,0,12,29,37,108,87,0,12,18,26,0,12,0,12,62,64,0,12,33,53,29,37,0,12,0,12,0,12,0,12,30,44,0,12,0,12,30,44,0,12,0,12,0,12,0,12
1400000US36001000700,36001000700,"Census Tract 7, Albany County, New York",1205,199,37,32,72,64,535,143,397,117,85,63,57,48,22,22,707,167,0,12,0,12,323,125,305,102,40,39,29,35,10,16,91,55,4,11,13,20,31,32,0,12,15,24,28,34,0,12,237,130,5,7,34,46,140,64,45,48,8,13,0,12,5,9,44,47,0,12,0,12,8,13,14,21,22,37,0,12,0,12,79,56,28,33,25,38,0,12,19,30,0,12,0,12,7,11,47,46,0,12,0,12,33,40,14,23,0,12,0,12,0,12
1400000US36001000800,36001000800,"Census Tract 8, Albany County, New York",567,154,0,12,63,60,161,80,249,92,21,24,55,40,18,21,169,76,0,12,12,19,35,33,113,66,0,12,9,16,0,12,7,12,0,12,0,12,0,12,7,12,0,12,0,12,0,12,145,82,0,12,23,37,50,59,26,34,21,24,17,22,8,14,170,102,0,12,28,44,50,45,74,59,0,12,8,18,10,15,37,32,0,12,0,12,17,26,20,22,0,12,0,12,0,12,39,38,0,12,0,12,9,15,9,14,0,12,21,32,0,12
1400000US36001001100,36001001100,"Census Tract 11, Albany County, New York",324,102,0,12,16,19,175,59,67,49,36,27,22,31,8,13,132,58,0,12,0,12,110,54,0,12,13,14,9,13,0,12,6,10,0,12,0,12,6,10,0,12,0,12,0,12,0,12,79,71,0,12,0,12,7,14,43,41,8,12,13,29,8,13,75,48,0,12,4,7,48,42,8,11,15,20,0,12,0,12,7,14,0,12,0,12,0,12,7,14,0,12,0,12,0,12,25,33,0,12,12,18,4,10,9,13,0,12,0,12,0,12
